,asset_class,counterparty,instrument_id,instrument_name,trade_date_time,trade_date_time_2,price,buySellIndicator,trader,quantity,trade_id
388,Drama Romance,Shields and Sons,039652716-7,WGL,2021-09-04 10:10:00,10:10,957.77,SELL,Giana Springthorpe,1103,1103
389,Musical Romance,Romaguera-Schamberger,649186968-7,GWPH,2021-11-09 04:50:00,4:50,162.18,BUY,Michelle Sweetmore,4217,4217
390,Adventure Comedy Western,"Okuneva, Armstrong and Denesik",349434832-4,FWRD,2021-08-29 07:29:00,7:29,515.33,SELL,Cristin Laudham,2324,2324
391,Children Comedy Romance Sci-Fi,Prosacco Group,502680826-3,ULTI,2021-09-18 22:45:00,22:45,286.39,SELL,Noach Younger,1150,1150
392,Comedy Drama,Mills Inc,934607800-6,LDL,2022-05-20 20:35:00,20:35,904.71,SELL,Juanita Knightsbridge,4064,4064
393,Action Thriller,Hartmann-Price,881667922-0,FRAN,2021-11-01 06:16:00,6:16,194.53,SELL,Neala Jickells,4348,4348
394,Action Drama Thriller,"Haley, Harvey and Jaskolski",106936599-8,ESBK,2022-01-01 22:14:00,22:14,329.27,BUY,Kassandra Bernardet,3040,3040
395,Drama,Kshlerin-Lesch,360717519-5,FWONK,2022-05-19 05:21:00,5:21,727.3,SELL,Thibaut Weitzel,2149,2149
396,Documentary War,Rosenbaum-Rogahn,920436083-6,HES^A,2021-07-06 06:50:00,6:50,925.26,SELL,Anna Valentin,1367,1367
397,Action Comedy Romance Thriller,Bechtelar-Durgan,561149676-8,HIMX,2021-11-23 22:46:00,22:46,319.94,SELL,Cullie Le feaver,3045,3045
398,Drama,Russel-Bergstrom,022981226-0,SCHW^D,2021-07-18 13:54:00,13:54,759.53,SELL,Mauricio Garland,2055,2055
399,Comedy,Schiller-Gaylord,749653175-8,PKO,2021-08-13 17:10:00,17:10,957.83,BUY,Jackie Knightsbridge,3071,3071
400,Comedy Drama,Schroeder Group,301324298-1,VALE,2021-11-08 23:33:00,23:33,169.02,BUY,Ezekiel Burkwood,1286,1286
401,Crime Drama Film-Noir,,370268077-2,BOFI,2022-01-04 21:20:00,21:20,478.77,BUY,Lindon Kunz,3658,3658
402,Action Adventure Horror Sci-Fi,Nikolaus Inc,046964486-9,MSCC,2022-03-04 01:27:00,1:27,921.91,BUY,Cheri Wilcocks,815,815
403,Documentary War,"Casper, Fadel and Von",830297341-6,SYF,2022-06-17 02:09:00,2:09,358.76,BUY,Ruby Josifovitz,665,665
404,Adventure Drama Mystery Thriller,"Beatty, Ondricka and Ruecker",579831809-5,CRDS,2021-11-30 12:12:00,12:12,227.71,SELL,Whit Wakley,3061,3061
405,Drama,"Torphy, Barton and Hoeger",928700114-6,CTY,2022-01-09 08:23:00,8:23,438.4,BUY,Hansiain Dowling,1458,1458
406,Drama War,Hessel LLC,651451936-9,MCS,2022-03-23 09:18:00,9:18,990.14,SELL,Ninette Kaveney,154,154
407,Action Crime Drama Thriller,Dietrich-Graham,020583558-9,NTRS,2022-06-16 23:22:00,23:22,325.2,SELL,Atalanta Ommanney,4275,4275
408,Documentary,Corwin-Koch,452467465-9,BDX,2022-04-17 09:47:00,9:47,494.85,SELL,Nils Eddies,3821,3821
409,Comedy,Bahringer Inc,226050191-5,CWH,2022-01-19 12:08:00,12:08,657.44,BUY,Mart Lounds,2904,2904
410,Action Fantasy,Schiller and Sons,294662957-0,DTE,2022-02-09 15:09:00,15:09,616.35,SELL,Chrissy Bearsmore,4,4
411,Comedy Drama,Schmeler LLC,501550462-4,WMT,2022-04-19 21:05:00,21:05,654.89,BUY,Janeczka Meade,1393,1393
412,Action Crime Drama Thriller,Senger-Bernhard,380445126-8,MTLS,2022-03-20 16:07:00,16:07,537.71,BUY,Lynea Medforth,4877,4877
413,Action Crime Drama,"Orn, Morar and Breitenberg",914897955-4,WFC.WS,2021-09-16 05:01:00,5:01,982.27,SELL,Alf Lowndesbrough,2481,2481
414,Action Drama,"Lemke, Block and Douglas",064492777-1,CMRE,2021-07-20 03:08:00,3:08,169.81,BUY,Pavel Devine,1404,1404
415,Crime Film-Noir Horror Romance Thriller,"Pfeffer, Marks and Rath",270185549-7,STAG,2021-12-30 17:40:00,17:40,165.67,SELL,Portie Divell,2527,2527
416,Comedy Drama Musical,"Quitzon, Morar and Russel",113786105-3,PAAC,2021-10-23 04:33:00,4:33,104.73,SELL,Matthieu Carillo,998,998
417,Animation Comedy Drama,Stiedemann-Gorczany,502403509-7,GJR,2021-10-18 23:58:00,23:58,74.58,SELL,Mersey Shuttlewood,2886,2886
418,Action Comedy Crime Drama Thriller,Considine LLC,747454909-3,SNGXW,2022-04-17 02:40:00,2:40,935.88,SELL,Shane Greenier,3883,3883
419,Drama Fantasy,"D'Amore, Douglas and Hodkiewicz",780185603-1,RBA,2022-01-12 08:06:00,8:06,558.44,BUY,Kirby Barthelet,903,903
420,Action Comedy,"Luettgen, Schimmel and Hessel",002881345-6,AFST,2022-03-27 04:00:00,4:00,733.44,BUY,Nadia Camamill,5121,5121
421,Documentary,"Ankunding, Moen and Mayert",891222157-4,PIR,2022-06-13 17:52:00,17:52,655.38,BUY,Sunny Loutheane,1043,1043
422,Drama,"Durgan, Doyle and Prohaska",452520670-5,ICCH,2021-07-30 03:08:00,3:08,807.98,BUY,Olly Jakubowsky,3294,3294
423,Comedy,"Mann, Aufderhar and Marks",386515721-1,THR,2021-09-01 04:31:00,4:31,236.68,SELL,Ravi Moysey,3995,3995
424,Action Romance Western,Bins Group,455102425-2,PNC,2021-10-02 10:25:00,10:25,82.14,BUY,Tammie Roj,5175,5175
425,Documentary War,Metz and Sons,815767213-9,KMM,2022-02-13 15:14:00,15:14,655.25,BUY,Hubie Ranking,273,273
426,Thriller,Cronin Inc,962388371-4,WSO.B,2022-03-17 22:59:00,22:59,46.81,BUY,Lauralee Nibley,1938,1938
427,Drama War,Leffler and Sons,179600443-X,AAWW,2022-03-24 16:33:00,16:33,43.91,BUY,Nefen Beverstock,3387,3387
428,Horror Mystery Thriller,Sporer and Sons,371870069-7,PM,2022-03-26 04:41:00,4:41,692.99,BUY,Sibyl Seyffert,2837,2837
429,Horror,Murray Inc,442286974-4,GROW,2021-07-27 22:34:00,22:34,882.43,BUY,Jackie Bolesma,4965,4965
430,Action Adventure Animation Children Comedy,Douglas-Prohaska,537471664-6,AON,2022-06-13 15:09:00,15:09,793.72,SELL,Glen Ghiriardelli,4460,4460
431,Drama Musical,Watsica-Beer,867128006-3,AAV,2021-07-08 22:59:00,22:59,873.45,BUY,Tomi Dakin,3803,3803
432,Documentary,"Murazik, Johnson and Rosenbaum",161092574-2,HR,2022-02-03 08:37:00,8:37,529.07,SELL,Byran Groven,604,604
433,Comedy Drama,"Wisozk, O'Reilly and Zboncak",303651201-2,LXFR,2021-08-15 21:41:00,21:41,179.13,BUY,Mano Gilyatt,5144,5144
434,Animation Children,"Morissette, Keebler and DuBuque",223955617-X,UZB,2022-01-30 07:17:00,7:17,857.37,SELL,Eugenio Chace,3667,3667
435,Comedy,"Kuhic, Auer and Price",637267942-6,POOL,2021-12-23 01:39:00,1:39,591.73,SELL,Benoite Shand,3930,3930
436,Children Drama,Koelpin-Turner,437886892-X,NAKD,2022-01-26 16:46:00,16:46,700.14,BUY,Giffy Sheaber,739,739
437,Crime Drama Thriller,Johns Group,038118582-6,FJP,2021-07-25 07:56:00,7:56,986.64,SELL,Denny McPhelim,1764,1764
438,Comedy,Skiles-Connelly,325702719-2,KTCC,2021-11-17 00:20:00,0:20,38.74,SELL,Farlee Truswell,1969,1969
439,Comedy Drama,Swift-Goyette,554561548-2,NTEC,2022-03-24 21:19:00,21:19,483.88,BUY,Corry Jenson,2409,2409
440,Drama Thriller,Conn and Sons,382756905-2,SKX,2021-07-19 07:23:00,7:23,789.55,SELL,Grantham Pottberry,2987,2987
441,Drama Film-Noir Mystery,,548984783-2,SNV,2021-09-16 21:38:00,21:38,425.21,SELL,Ava Dumberrill,5160,5160
442,Drama,Armstrong and Sons,406775186-9,VFC,2022-04-12 02:24:00,2:24,553.51,BUY,Sheena Reardon,410,410
443,Horror Mystery,"Thompson, Olson and Lind",639670466-8,JSYNR,2022-06-10 09:13:00,9:13,487.09,SELL,Berenice Strognell,3967,3967
444,Documentary Drama War,Johnston Inc,109938710-8,EQM,2022-05-17 07:24:00,7:24,170.94,SELL,Marna Takle,5345,5345
445,Horror Sci-Fi,Ziemann-Dare,492850313-9,BOKF,2021-09-20 15:49:00,15:49,347.81,BUY,Lilith Levington,4243,4243
446,Action Adventure Animation Sci-Fi,"Luettgen, Heller and Schaden",836743171-5,PSA^Z,2021-11-24 03:44:00,3:44,794.77,BUY,Adham Gimert,4016,4016
447,Documentary Sci-Fi,Bruen-Kerluke,346292119-3,MCA,2022-02-26 11:12:00,11:12,925.26,BUY,Kariotta Pocke,5867,5867
448,Western,Hermiston LLC,199316403-0,EYES,2022-04-13 02:37:00,2:37,329.75,BUY,Pierre Boote,4910,4910
449,Documentary,Hammes Inc,327256610-4,VSLR,2022-01-30 11:54:00,11:54,298.91,SELL,Cletis Izzat,4904,4904
450,Drama,Botsford Inc,657149143-5,FALN,2021-12-21 02:06:00,2:06,706.83,BUY,Harmonia Binnell,1777,1777
451,Comedy Drama,Bernier-Dietrich,522835791-2,FTSL,2022-01-14 00:49:00,0:49,961.14,SELL,Manuel Bachman,5814,5814
452,Drama,Keeling LLC,104509702-0,VTRB,2022-04-04 22:46:00,22:46,86.31,SELL,Bret Franzel,463,463
453,Crime Drama Thriller,Gaylord-Jones,461394373-6,RUN,2022-05-04 10:35:00,10:35,533.83,SELL,Cloe Perllman,417,417
454,Comedy Drama Romance,Sauer-Hackett,319364272-X,AAC,2022-03-06 17:41:00,17:41,318.22,BUY,Lacy Yarrow,2233,2233
455,Documentary,Shields and Sons,638868333-9,TITN,2022-02-07 22:50:00,22:50,507.83,BUY,Celina Hegge,4948,4948
456,Adventure War,,055287788-3,C^K,2021-12-13 14:07:00,14:07,740.89,BUY,Christa Bake,4811,4811
457,Action Crime Drama Mystery Thriller,,437529144-3,CYHHZ,2021-07-19 10:13:00,10:13,543.33,SELL,Josee Bidewell,5052,5052
458,Comedy Drama Fantasy Romance,Steuber Group,386283402-6,UPL,2022-04-25 09:15:00,9:15,982.08,BUY,Rois Scranny,2210,2210
459,Comedy Drama,Metz and Sons,974633606-1,APEN,2022-03-14 12:39:00,12:39,788.15,SELL,Jany Hargitt,5018,5018
460,Comedy,"West, Dickens and Morissette",810422369-0,EGIF,2022-06-08 20:59:00,20:59,778.62,SELL,Maynard Virgin,3535,3535
461,Comedy Drama,Mante-Kub,560427266-3,PBCTP,2021-11-23 18:48:00,18:48,36.33,SELL,Tanner Mearns,4822,4822
462,Drama Thriller,"Bogan, Kemmer and Will",209899374-9,MCX,2022-04-10 22:56:00,22:56,892.92,BUY,Brunhilde Rubinowicz,5773,5773
463,Action Drama,Bartell-Stanton,999971985-6,JHS,2021-12-29 18:29:00,18:29,245.24,BUY,Debbi Dulinty,207,207
464,Drama,Wolf Group,426016824-X,ALR^B,2022-03-14 09:58:00,9:58,114.1,SELL,Moina Freake,2806,2806
465,Drama,Gutkowski Group,848685792-9,RMP,2022-07-02 11:03:00,11:03,312.47,SELL,Carmelia Devennie,631,631
466,Documentary,"Funk, Kirlin and Okuneva",496102655-7,CYHHZ,2021-08-05 03:19:00,3:19,116.33,BUY,Merrili Furmage,3488,3488
467,Drama,Pouros Group,951453410-7,ALTY,2022-06-21 23:37:00,23:37,358.87,SELL,Matt Kettley,4831,4831
468,Drama,"Flatley, MacGyver and Kiehn",692425503-5,VMBS,2021-10-24 17:04:00,17:04,348.18,SELL,Ramona Junes,1277,1277
469,Documentary,Homenick-Bernier,632567374-3,MGA,2022-03-03 23:46:00,23:46,581.33,SELL,Norbert Cowans,3269,3269
470,Comedy,Rohan-Stiedemann,398270701-3,ABX,2021-07-21 00:28:00,0:28,186.06,BUY,Shell Beneix,5460,5460
471,Crime Drama Mystery,Wilderman Group,638969645-0,STAY,2022-01-29 22:36:00,22:36,279.76,BUY,Carolyne Remon,1136,1136
472,Drama Mystery,Kulas Inc,204102872-6,STLD,2021-07-07 10:24:00,10:24,440.19,BUY,Jemie Josland,2371,2371
473,Crime Drama Romance,"Roberts, Stanton and McKenzie",443705034-7,HEI.A,2022-05-11 20:26:00,20:26,242.89,BUY,Anjanette Gofton,5598,5598
474,Adventure Sci-Fi,"Schowalter, Jast and Satterfield",569889256-3,UDR,2021-11-27 15:51:00,15:51,557.87,SELL,Adela Cossins,4353,4353
475,Comedy,Towne-Spinka,176074648-7,SIGI,2022-04-17 22:32:00,22:32,218.98,BUY,Yvon Bentson,1415,1415
476,Comedy Musical Romance,"Jast, Carter and Nikolaus",056445662-4,TEGP,2021-12-16 03:50:00,3:50,510.29,BUY,Emery McAtamney,5632,5632
477,Comedy Mystery Sci-Fi,Batz LLC,943641451-X,PVAC,2022-05-26 16:19:00,16:19,17.3,BUY,Currey Leupoldt,1925,1925
478,Documentary,Rolfson-Monahan,843288869-9,KRO,2021-12-31 00:54:00,0:54,484.27,SELL,Wally Pratley,3630,3630
479,Action Fantasy Sci-Fi Thriller,Emmerich Group,817801953-1,OMI,2022-04-11 18:40:00,18:40,984.18,SELL,Quentin Marfell,2813,2813
480,Drama,,750764622-X,ALDR,2022-05-31 03:01:00,3:01,284.41,BUY,Roxine Castillon,1619,1619
481,Documentary,Rolfson-Considine,762607753-9,DPZ,2022-06-07 21:13:00,21:13,701.09,BUY,Vicky Skurray,3038,3038
482,Comedy Drama,Erdman-Parisian,425640801-0,UCP,2022-05-02 20:44:00,20:44,270.97,SELL,Celle Bacon,4654,4654
483,Comedy,Ernser-Raynor,092971267-6,OTTR,2022-06-21 20:07:00,20:07,557.32,SELL,Octavius Kinze,3816,3816
484,Action Drama,,670441897-0,NVGS,2021-09-22 23:58:00,23:58,175.88,SELL,Mirelle Millington,2253,2253
485,Documentary,Cole-Mills,265978415-9,GJV,2021-08-21 00:21:00,0:21,977.19,BUY,Pepe Corney,2731,2731
486,Documentary,"Kertzmann, Rogahn and Johnston",464148999-8,CNQ,2021-10-19 05:10:00,5:10,211.46,BUY,Kyrstin Tarrant,1778,1778
487,Animation Romance,"Brakus, Ortiz and Koelpin",142752007-0,NHI,2021-11-28 16:30:00,16:30,672.86,SELL,Solly Haxley,3001,3001
488,Horror Sci-Fi Thriller,"VonRueden, Nader and Skiles",173933004-8,MTR,2021-11-24 16:49:00,16:49,621.48,BUY,Doll Burbridge,4583,4583
489,Documentary,,550733178-2,VLRX,2021-10-19 15:09:00,15:09,420.65,SELL,Linet Norkutt,1491,1491
490,Comedy Musical,Runolfsson-McClure,059800193-X,JMM,2022-05-14 01:19:00,1:19,506.8,BUY,Diane ffrench Beytagh,5585,5585
491,Comedy Musical,"Runte, Parisian and Nolan",889891814-3,XEC,2022-03-13 18:30:00,18:30,443.3,SELL,Sianna Gellert,4724,4724
492,Horror Sci-Fi Thriller,"Tremblay, Will and Rolfson",663813193-1,SGY,2022-04-02 12:52:00,12:52,144.6,BUY,Markos Gallo,3569,3569
493,Adventure Animation Children Drama Fantasy,Muller LLC,858139975-4,SAM,2022-06-24 16:48:00,16:48,948.33,BUY,Yorgos Maryman,1831,1831
494,Drama,Mante Inc,018505301-7,CERN,2022-04-02 13:41:00,13:41,326.91,BUY,Dannie Gawn,1278,1278
495,Comedy,McDermott-Runolfsson,272292302-5,FELP,2022-06-20 17:16:00,17:16,63.48,BUY,Binnie Vakhrushev,5737,5737
496,Western,"Stiedemann, Abernathy and Herman",847006520-3,PLNT,2021-11-24 06:07:00,6:07,978.09,SELL,Costanza Hiskey,4408,4408
497,Drama Romance,Cartwright Inc,083139267-3,GLOG^A,2021-12-03 12:41:00,12:41,388.7,SELL,Helena Keay,81,81
498,Comedy Drama,Beatty-Casper,394241608-5,STRT,2022-03-28 03:01:00,3:01,402.98,BUY,Cordie Bettles,3528,3528
499,Comedy,Jacobs-Beahan,427179547-X,ANTX,2022-02-28 14:29:00,14:29,383.7,SELL,Marcy Adamovitz,3818,3818
500,Comedy Drama,Murazik LLC,120152065-7,RRD,2021-11-05 01:15:00,1:15,882.21,SELL,Wakefield Gehrtz,3941,3941
501,Crime Drama,"Daniel, Blanda and Keebler",875740169-1,VSM,2022-02-22 03:50:00,3:50,28.71,BUY,Prudi Ronan,3582,3582
502,Horror Mystery Thriller,Wilderman Group,941062874-1,FISV,2021-09-15 16:26:00,16:26,664.68,BUY,Dunn Britt,3261,3261
503,Adventure Children Drama,,600979057-3,ACV,2022-01-31 21:17:00,21:17,97.11,BUY,Nelli Wharby,1745,1745
504,Documentary,"Considine, Emard and Haley",945520915-2,GROW,2022-01-19 01:18:00,1:18,146.64,BUY,Allison Bennoe,1959,1959
505,Children Drama,"Brown, Purdy and Bosco",477392045-9,TNP^D,2021-09-05 02:39:00,2:39,179.53,SELL,Issi Fines,371,371
506,Documentary,,273600036-6,SWNC,2021-12-23 16:36:00,16:36,301.54,BUY,Kendre Whitfeld,5562,5562
507,Drama Mystery Thriller,Keeling Group,972828760-7,MGRC,2022-04-16 18:23:00,18:23,330.0,SELL,Chere Pietri,4968,4968
508,Comedy Fantasy Musical,"Aufderhar, Hessel and Huels",305395401-X,FBZ,2021-11-21 11:01:00,11:01,538.43,BUY,Jareb Sitford,794,794
509,Fantasy Horror Mystery Romance,"Hirthe, Schaefer and Adams",708869424-7,ETO,2021-09-07 22:44:00,22:44,129.93,SELL,Pepita Kirby,3141,3141
510,Drama,Kerluke LLC,235970000-6,EPZM,2021-09-26 09:59:00,9:59,253.74,SELL,Quill Maffezzoli,1200,1200
511,Drama,"Cremin, Wolf and Wiza",142728806-2,ZPIN,2022-06-13 15:56:00,15:56,66.5,SELL,Julee Peirazzi,3271,3271
512,Action Crime Thriller,Hilll and Sons,891161261-8,MAA,2022-04-22 15:28:00,15:28,888.32,SELL,Merralee Goodlife,4882,4882
513,Comedy Documentary Drama Romance,,131643231-9,CUBI^F,2022-01-09 23:40:00,23:40,266.18,SELL,Patricio Pollen,2690,2690
514,Drama,"Osinski, King and Ullrich",577824371-5,CAT,2021-12-10 09:31:00,9:31,488.6,SELL,Wallis New,4898,4898
515,Documentary War,Hagenes Inc,424824723-2,LUK,2022-02-04 23:26:00,23:26,341.96,BUY,Berkeley Pavolillo,3442,3442
516,Comedy Romance,"Blanda, Davis and Howe",115314894-3,OXBR,2022-03-19 08:08:00,8:08,481.79,BUY,Grover Phlippsen,765,765
517,Documentary,Torp Inc,302109248-9,VONG,2021-09-16 03:39:00,3:39,242.43,SELL,Gaylene Faragher,2454,2454
518,Crime Drama Romance,Carter and Sons,569895924-2,GLBL,2022-03-29 00:44:00,0:44,297.02,BUY,Edithe Lassen,1027,1027
519,Romance Thriller,Dietrich and Sons,408682233-4,CHMI,2022-03-10 06:44:00,6:44,303.9,BUY,Frederico Ducker,3636,3636
520,Drama Film-Noir Romance Thriller,"Aufderhar, Flatley and Emard",102995094-6,NOV,2022-02-05 04:35:00,4:35,748.64,SELL,Toddy Draper,3582,3582
521,Action Sci-Fi IMAX,Stiedemann-Kuhn,190824212-4,HIG.WS,2021-11-25 20:48:00,20:48,902.8,BUY,Roseline Dumke,4008,4008
522,Documentary,"Cassin, Streich and Mante",270874819-X,WCC,2021-12-07 05:26:00,5:26,381.5,SELL,Randy Ellens,1422,1422
523,Drama War,Predovic and Sons,877688849-5,MEOH,2021-08-03 12:48:00,12:48,762.98,BUY,Daria Ivancevic,69,69
524,Comedy Romance,Flatley LLC,166620920-1,GPE^A,2021-11-29 23:20:00,23:20,95.27,SELL,Shawna Atger,283,283
525,Crime Drama Romance Thriller,"Carter, Lebsack and Balistreri",642718124-6,TANH,2022-01-22 14:27:00,14:27,51.65,SELL,Claiborn Bront,3620,3620
526,Drama,Graham Inc,219242912-6,ADHD,2022-01-20 23:14:00,23:14,824.51,SELL,Filbert Slipper,2725,2725
527,Drama,"Rempel, Dicki and Zboncak",764566959-4,AME,2022-05-17 22:56:00,22:56,238.89,BUY,Otho Jeaneau,5458,5458
528,Action Adventure Fantasy,"Connelly, Watsica and Bednar",238026566-6,AUY,2022-05-01 21:00:00,21:00,386.67,SELL,Carleen Lilburn,26,26
529,Documentary,Hegmann-Morissette,450494952-0,UIHC,2021-09-20 17:06:00,17:06,421.1,SELL,Elsinore Costock,1183,1183
530,Comedy Drama,Schuppe-Adams,442004850-6,CID,2022-01-02 20:57:00,20:57,650.77,SELL,Raimund Treadgear,2765,2765
531,Drama,"Stark, Mayert and Rolfson",668437180-X,GZT,2022-03-17 17:55:00,17:55,606.66,SELL,Bart Watters,2402,2402
532,Horror Thriller,"Cummings, Corkery and Volkman",721726188-0,MIC,2022-05-18 23:25:00,23:25,404.01,SELL,Hatti Klimowski,3782,3782
533,Drama,Greenfelder Group,364664801-5,CADC,2021-11-05 07:11:00,7:11,351.16,SELL,Dawna Alenin,2502,2502
534,Comedy,Stehr and Sons,136180228-6,VNET,2022-04-05 08:09:00,8:09,12.93,SELL,Sari Fasset,1573,1573
535,Drama Mystery Thriller,"Champlin, Ferry and Hane",462054962-2,RNET,2021-09-07 11:41:00,11:41,589.01,BUY,Chelsea Espinha,4008,4008
536,(no genres listed),,116267634-5,NYNY,2022-01-31 16:03:00,16:03,911.57,BUY,Kevina Jepperson,1009,1009
537,Mystery Sci-Fi Thriller,Moore Inc,636705051-5,ARRY,2022-04-13 00:41:00,0:41,472.09,SELL,Dorolice Cakes,4607,4607
538,Adventure Animation Children Comedy Fantasy,"Breitenberg, Ziemann and Homenick",456694976-1,BNJ,2022-04-24 10:10:00,10:10,539.62,BUY,Nichole Kryszka,5310,5310
539,Comedy Horror,"Mertz, Bartell and MacGyver",591052701-0,SHOP,2022-03-07 13:45:00,13:45,582.83,BUY,Magdalena Hurll,4517,4517
540,Drama,Wiegand Inc,788209792-6,ECCB,2021-08-27 20:35:00,20:35,366.05,BUY,Pierrette Heaphy,5887,5887
541,Action Crime Drama Thriller,"Beahan, Pacocha and Quigley",725684518-9,MUH,2022-03-26 06:41:00,6:41,777.52,SELL,Matti Gwillyam,1351,1351
542,Crime Drama,Lemke Group,687612772-9,TGS,2021-10-27 10:07:00,10:07,809.39,SELL,Hadleigh O'Keenan,2380,2380
543,Horror Sci-Fi,Gaylord-Mills,148529961-6,CLRBZ,2021-12-19 00:34:00,0:34,500.08,BUY,George O'Corrane,1792,1792
544,Drama,"Corwin, Sawayn and Murphy",197857992-6,CAA,2022-06-23 14:50:00,14:50,31.07,BUY,Karee Hentze,4290,4290
545,Action Crime Drama,O'Kon LLC,769640408-3,AMBA,2022-03-09 15:39:00,15:39,782.47,BUY,Milzie Meads,3772,3772
546,Animation Sci-Fi,Kautzer Group,818217433-3,STC,2022-07-02 06:11:00,6:11,463.24,BUY,Toby Rex,5938,5938
547,Comedy Drama,"Corkery, Kshlerin and Hermann",451089723-5,TCBI,2021-12-27 17:44:00,17:44,252.88,SELL,Perla Barbera,4503,4503
548,Drama,"Reichel, Bashirian and Kassulke",902303778-2,AGNC,2021-09-10 21:37:00,21:37,247.18,SELL,Rhett Chapellow,1544,1544
549,Drama,Fritsch-West,683583471-4,EVGBC,2022-03-22 01:52:00,1:52,519.5,BUY,Noelani Arundell,1615,1615
550,Drama,Rath Group,885740117-0,MTB^,2021-07-03 09:16:00,9:16,348.87,SELL,Robby Offner,1265,1265
551,Comedy Drama,"Orn, Watsica and Bogan",826526413-5,JEQ,2022-05-09 02:20:00,2:20,16.38,SELL,Rolfe Rhelton,1302,1302
552,Drama Romance,Kiehn and Sons,123840503-7,LAYN,2022-04-30 23:58:00,23:58,894.64,SELL,Leopold Godbehere,5053,5053
553,Action,Thompson Inc,257879047-7,CLRBZ,2022-03-05 12:24:00,12:24,657.97,BUY,Claudia Hammersley,5529,5529
554,Drama Romance,Krajcik Inc,875146205-2,LRAD,2021-07-16 14:49:00,14:49,53.87,BUY,Arlen D'eye,1768,1768
555,Action War,Hilll-Dare,017314048-3,INTL,2022-04-19 01:41:00,1:41,310.46,BUY,Uriel Brafferton,2437,2437
556,Animation Sci-Fi,,387496674-7,DYN.WS,2022-07-02 13:03:00,13:03,129.38,SELL,Francisco Mapp,3780,3780
557,Horror Thriller,Turner LLC,552788655-0,CBB,2021-10-03 00:32:00,0:32,737.75,SELL,Son Leeman,4787,4787
558,Adventure Drama Western,"Nader, Huels and Dicki",604474166-4,NEE^R,2021-11-01 01:22:00,1:22,403.85,BUY,Karmen Ladson,5060,5060
559,Adventure Comedy Sci-Fi,O'Keefe and Sons,955963268-X,LOPE,2022-05-09 01:17:00,1:17,205.92,BUY,Othella Racher,1207,1207
560,Adventure Romance,"Turcotte, West and Gulgowski",558190446-4,BT,2022-01-12 21:33:00,21:33,68.4,SELL,Goldina Gotch,23,23
561,Action Drama War,"Dare, Robel and Schaefer",103231932-1,CLSN,2021-11-25 23:49:00,23:49,237.59,SELL,Nappie Andresen,751,751
562,Drama,Osinski Group,910268934-0,BXC,2021-08-23 20:35:00,20:35,98.1,SELL,Chris Krook,2048,2048
563,Romance,"Feest, Raynor and Zulauf",332050809-1,NWLI,2022-05-25 17:58:00,17:58,682.51,BUY,Corabel Ferrini,3838,3838
564,Drama,Raynor Group,007068399-9,SCHW^D,2021-12-27 03:30:00,3:30,214.4,SELL,Alfonso Booley,976,976
565,Comedy,Schimmel-Okuneva,813076864-X,MITT^A,2022-06-14 23:21:00,23:21,555.76,SELL,Dillie Nuschke,3161,3161
566,Adventure Children,Schamberger-Williamson,438069323-6,EACQ,2021-08-13 15:28:00,15:28,149.59,BUY,Riki Measham,2726,2726
567,Action Comedy,"Bernier, Hermann and Jerde",567226383-6,ELECW,2022-05-06 21:08:00,21:08,313.93,BUY,Arv Beddingham,435,435
568,Drama,Prosacco-Macejkovic,822378911-6,ADI,2021-11-16 00:44:00,0:44,387.01,SELL,Dasya Simonou,1665,1665
569,Action Romance War Western,,343612248-3,CTBI,2021-09-05 04:39:00,4:39,581.54,BUY,Glyn Samsonsen,5568,5568
570,Action Thriller,Pacocha Inc,312979149-3,DGICA,2021-11-22 08:12:00,8:12,237.11,SELL,Kaleena Hartle,1191,1191
571,Crime Drama Mystery,"Kovacek, Sanford and Stiedemann",432643399-X,SALT,2022-03-18 15:20:00,15:20,562.74,BUY,Constantia Fitchen,4861,4861
572,Adventure Drama Romance,"Flatley, Schiller and Pagac",354719205-6,MBT,2021-11-16 03:15:00,3:15,242.43,SELL,Joachim Rains,5537,5537
573,Romance,Ryan-Raynor,480302026-4,IRCP,2021-08-21 12:07:00,12:07,726.97,BUY,Betteann Rennels,1334,1334
574,Drama Romance,"Dach, Wiza and Welch",163420307-0,TAX,2022-02-15 07:56:00,7:56,14.02,BUY,Regine Danielot,838,838
575,Comedy,Crist and Sons,562945564-8,DSU,2022-03-07 15:25:00,15:25,727.61,SELL,Dom O'Sullivan,2463,2463
576,Comedy,"Greenfelder, Labadie and Ankunding",882879562-X,MMDMW,2022-02-04 22:18:00,22:18,48.82,BUY,Arda Keel,666,666
577,Documentary,Rutherford LLC,293677681-3,TSLX,2021-08-24 23:12:00,23:12,714.27,BUY,Kanya Jonuzi,1646,1646
578,Comedy Fantasy,"Kuhlman, Schaden and Adams",529080446-3,SAN^B,2021-07-22 03:54:00,3:54,184.28,BUY,Dido Sweetman,3609,3609
579,Action Horror Sci-Fi Thriller,,421590280-0,DB,2021-09-16 04:39:00,4:39,626.14,SELL,Koressa Tevelov,2439,2439
580,Children Drama,"Stoltenberg, Denesik and Bartoletti",594685714-2,WB,2021-07-08 13:01:00,13:01,110.2,BUY,Inna Ell,1592,1592
581,Comedy Musical,"Willms, Mosciski and Osinski",207036624-3,SRNE,2022-06-11 06:06:00,6:06,430.41,BUY,Rhona Tiner,2220,2220
